Ground,Margin,Match_Date,Team1,Team2,matchID,winner
Auckland,44 runs,17-Feb-05,New Zealand,Australia,1,Australia
Southampton,100 runs,13-Jun-05,England,Australia,2,England
Johannesburg,5 wickets,21-Oct-05,South Africa,New Zealand,3,New Zealand
Brisbane,95 runs,9-Jan-06,Australia,South Africa,4,Australia
Auckland,-,16-Feb-06,New Zealand,West Indies,5,tied
Johannesburg,2 runs,24-Feb-06,South Africa,Australia,6,South Africa
Southampton,2 runs,15-Jun-06,England,Sri Lanka,7,Sri Lanka
Bristol,5 wickets,28-Aug-06,England,Pakistan,8,Pakistan
Khulna,43 runs,28-Nov-06,Bangladesh,Zimbabwe,9,Bangladesh
Johannesburg,6 wickets,1-Dec-06,South Africa,India,10,India
Wellington,18 runs,22-Dec-06,New Zealand,Sri Lanka,11,Sri Lanka
Auckland,5 wickets,26-Dec-06,New Zealand,Sri Lanka,12,New Zealand
Sydney,77 runs,9-Jan-07,Australia,England,13,Australia
Johannesburg,10 wickets,2-Feb-07,South Africa,Pakistan,14,South Africa
The Oval,15 runs,28-Jun-07,England,West Indies,15,West Indies
The Oval,5 wickets,29-Jun-07,England,West Indies,16,England
Nairobi (Gym),5 wickets,1-Sep-07,Kenya,Bangladesh,17,Bangladesh
Nairobi (Gym),30 runs,2-Sep-07,Bangladesh,Pakistan,18,Pakistan
Nairobi (Gym),8 wickets,4-Sep-07,Kenya,Pakistan,19,Pakistan
Johannesburg,8 wickets,11-Sep-07,South Africa,West Indies,20,South Africa
Durban,9 wickets,12-Sep-07,Kenya,New Zealand,21,New Zealand
Durban,51 runs,12-Sep-07,Pakistan,Scotland,22,Pakistan
Cape Town,5 wickets,12-Sep-07,Australia,Zimbabwe,23,Zimbabwe
Johannesburg,6 wickets,13-Sep-07,Bangladesh,West Indies,24,Bangladesh
Cape Town,50 runs,13-Sep-07,England,Zimbabwe,25,England
Durban,-,13-Sep-07,India,Scotland,26,no result
Johannesburg,172 runs,14-Sep-07,Kenya,Sri Lanka,27,Sri Lanka
Cape Town,8 wickets,14-Sep-07,Australia,England,28,Australia
Durban,-,14-Sep-07,India,Pakistan,29,tied
Johannesburg,7 wickets,15-Sep-07,New Zealand,Sri Lanka,30,Sri Lanka
Cape Town,7 wickets,15-Sep-07,South Africa,Bangladesh,31,South Africa
Johannesburg,10 runs,16-Sep-07,India,New Zealand,32,New Zealand
Cape Town,9 wickets,16-Sep-07,Australia,Bangladesh,33,Australia
Cape Town,19 runs,16-Sep-07,South Africa,England,34,South Africa
Johannesburg,33 runs,17-Sep-07,Pakistan,Sri Lanka,35,Pakistan
Durban,5 runs,18-Sep-07,England,New Zealand,36,New Zealand
Johannesburg,6 wickets,18-Sep-07,Australia,Pakistan,37,Pakistan
Johannesburg,64 runs,18-Sep-07,Bangladesh,Sri Lanka,38,Sri Lanka
Durban,6 wickets,19-Sep-07,South Africa,New Zealand,39,South Africa
Durban,18 runs,19-Sep-07,England,India,40,India
Cape Town,10 wickets,20-Sep-07,Australia,Sri Lanka,41,Australia
Cape Town,4 wickets,20-Sep-07,Bangladesh,Pakistan,42,Pakistan
Durban,37 runs,20-Sep-07,South Africa,India,43,India
Cape Town,6 wickets,22-Sep-07,New Zealand,Pakistan,44,Pakistan
Durban,15 runs,22-Sep-07,Australia,India,45,India
Johannesburg,5 runs,24-Sep-07,India,Pakistan,46,India
Brabourne,7 wickets,20-Oct-07,India,Australia,47,India
Johannesburg,3 wickets,23-Nov-07,South Africa,New Zealand,48,South Africa
Perth,54 runs,11-Dec-07,Australia,New Zealand,49,Australia
Gqeberha,5 wickets,16-Dec-07,South Africa,West Indies,50,West Indies
